iteration, x, f(x), f'(x)
1, 1.094716631355228, -1.349928672823971, -1311.464740275387,
2, 1.0936873023680524, -0.0048409261633182155, -1302.0656741695175,
3, 1.0936835844863362, -0.000000062969348846309, -1302.0318004383732,
4, 1.0936835844379738, 0, -1302.031799997746
